"LSOACODE","AVEPRICE","AVEINCOME","IMDSCORE","PTAINDEX","PTACAT"
"E01002700",1446137.19,85143.33,17.6,8.67,"2. Low"
"E01002701",638999.91,47616.67,33.4,38.11,"5. Highest"
"E01002702",684374.34,46633.33,38,27.46,"5. Highest"
"E01002703",619709.74,46766.67,42.2,26.68,"5. Highest"
"E01002704",762817.15,52970,26.6,69.06,"5. Highest"
"E01002706",760594.43,49893.33,30.6,33.36,"5. Highest"
"E01002707",638686.48,55600,28,28.06,"5. Highest"
"E01002708",549444.95,46440,35,13.22,"3. Medium"
"E01002709",519377.01,44783.33,38.8,19.71,"3. Medium"
"E01002710",679011.28,45850,36.6,33.11,"5. Highest"
"E01002711",705525.65,55163.33,27.9,74.13,"5. Highest"
"E01002712",560509.61,49100,39.4,21.5,"4. High"
"E01002713",420869,41193.33,48.4,24.92,"4. High"
"E01002714",848505.18,68080,16.6,13.7,"3. Medium"
"E01002715",530507.89,41046.67,45.2,14.1,"3. Medium"
"E01002716",475433.73,48723.33,36,30.69,"5. Highest"
"E01002717",971688.11,58286.67,24.9,31.02,"5. Highest"
"E01002718",865103.25,63083.33,24.4,26.29,"5. Highest"
"E01002719",1247847.15,62760,22.6,34.31,"5. Highest"
"E01002720",652268.57,46526.67,45.3,28.12,"5. Highest"
"E01002721",748660.51,55820,32.3,21.2,"4. High"
"E01002722",652763.78,48603.33,40.9,22.11,"4. High"
"E01002723",628420.55,50873.33,34.2,27.64,"5. Highest"
"E01002724",951058.32,66386.67,15.9,45.47,"5. Highest"
"E01002725",665609.76,50986.67,33.4,27.27,"5. Highest"
"E01002726",792809.81,56906.67,28.9,35.7,"5. Highest"
"E01002727",895799.99,58720,27.4,28.11,"5. Highest"
"E01002728",928639.21,52350,27.9,62.27,"5. Highest"
"E01002729",1379270.15,60240,35.4,33.84,"5. Highest"
"E01002730",669621.38,50620,36.2,40.14,"5. Highest"
"E01002731",486799.97,51253.33,32.4,31.73,"5. Highest"
"E01002732",434089.09,42040,56.9,40.38,"5. Highest"
"E01002733",574674.49,57493.33,21.3,19.55,"3. Medium"
"E01002734",385056.5,38626.67,64,55.43,"5. Highest"
"E01002735",476780.24,49496.67,37.8,49.09,"5. Highest"
"E01002736",487525.49,40536.67,49.6,32.63,"5. Highest"
"E01002737",446369.64,41373.33,40.3,16.82,"3. Medium"
"E01002738",900596.49,62666.67,29.3,21.78,"4. High"
"E01002739",881792.03,68863.33,19.6,27.07,"5. Highest"
"E01002740",1145980.49,75700,20.2,37.86,"5. Highest"
"E01002741",432524.76,48686.67,41.5,11.42,"3. Medium"
"E01002742",941250.27,70823.33,16.3,23.81,"4. High"
"E01002743",891694.27,59626.67,24.7,11.08,"3. Medium"
"E01002744",788527.9,61896.67,23,15.2,"3. Medium"
"E01002745",1314601.17,65196.67,19.2,20.07,"4. High"
"E01002747",829657,64940,14.8,39.48,"5. Highest"
"E01002748",640966.34,53250,46.9,41.19,"5. Highest"
"E01002749",770727.51,58756.67,29.1,26.98,"5. Highest"
"E01002751",432063.67,45353.33,47.8,32.76,"5. Highest"
"E01002752",703833.34,55793.33,27.3,22.95,"4. High"
"E01002753",427194.6,48973.33,32.3,16.32,"3. Medium"
"E01002754",739006.45,65356.67,22.6,24.41,"4. High"
"E01002755",487323.1,47316.67,45,10.66,"3. Medium"
"E01002756",622348.94,55553.33,29.9,14.3,"3. Medium"
"E01002757",687310.55,56580,28.7,9.18,"2. Low"
"E01002758",409076.1,44773.33,49.5,12.39,"3. Medium"
"E01002759",665825.65,60303.33,22.4,19.87,"3. Medium"
"E01002760",402382.94,46983.33,47.7,14.01,"3. Medium"
"E01002762",608254.47,54613.33,25.1,25.73,"5. Highest"
"E01002763",418653.8,47036.67,39.1,30.58,"5. Highest"
"E01002764",699443,46780,37.5,20.9,"4. High"
"E01002765",354502.87,42670,38.8,22.05,"4. High"
"E01002766",414756,40563.33,42,16.82,"3. Medium"
"E01002767",427237.87,47023.33,41,25.11,"5. Highest"
"E01002768",465118.38,52786.67,32.2,18.29,"3. Medium"
"E01002769",861565.14,62660,20.2,13.79,"3. Medium"
"E01002770",565490.5,55533.33,32.1,33,"5. Highest"
"E01002771",702790.45,55030,28.1,21.74,"4. High"
"E01002772",443389.67,53226.67,32.4,32.1,"5. Highest"
"E01002773",392544.44,42543.33,59.5,28.84,"5. Highest"
"E01002774",650577.58,52936.67,35.3,26.37,"5. Highest"
"E01002775",792997.24,60303.33,24.2,29.99,"5. Highest"
"E01002776",795776.69,54336.67,34.4,27.82,"5. Highest"
"E01002777",677418.63,55473.33,31.5,29.35,"5. Highest"
"E01002778",525023.51,43830,51.2,27.28,"5. Highest"
"E01002779",758704.75,56310,22.4,18.19,"3. Medium"
"E01002780",742054.03,56550,31.3,23.94,"4. High"
"E01002781",1038139.19,51173.33,30.1,19.36,"3. Medium"
"E01002782",490251.49,44940,47.1,21.43,"4. High"
"E01002783",427707.01,46880,51.9,15.83,"3. Medium"
"E01002784",576994.89,47783.33,40.2,12.76,"3. Medium"
"E01002785",945701.26,62776.67,23.7,15.32,"3. Medium"
"E01002786",551781.61,47653.33,41.5,20.96,"4. High"
"E01002787",471946.14,47876.67,38.4,17.16,"3. Medium"
"E01002788",649820.87,62893.33,22.4,12.11,"3. Medium"
"E01002789",837640.49,69416.67,15.9,14.68,"3. Medium"
"E01002790",631132.1,51810,47.3,30.81,"5. Highest"
"E01002791",1267869.8,65140,20.4,38.16,"5. Highest"
"E01002792",943513.67,69606.67,22.3,26.06,"5. Highest"
"E01002793",631703.57,54700,41.6,31.01,"5. Highest"
"E01002794",1354785.93,66960,23.1,30.88,"5. Highest"
"E01002795",989596.46,61253.33,31.4,36.08,"5. Highest"
"E01002796",733416.63,63036.67,26.9,30.68,"5. Highest"
"E01002797",501673.1,50616.67,38.6,22.27,"4. High"
"E01002798",1059134.12,63320,21.6,16.15,"3. Medium"
"E01002799",788164.3,49626.67,35.9,22.76,"4. High"
"E01002800",549917.18,44046.67,52.6,13.45,"3. Medium"
"E01002801",1242472.37,69060,21.2,30.58,"5. Highest"
"E01002802",1169424.36,69656.67,25.8,17.25,"3. Medium"
"E01002803",871035.28,62240,27.1,25.18,"5. Highest"
"E01002804",536343.58,48113.33,40,11.41,"3. Medium"
"E01002805",505684.35,54403.33,28.4,29.27,"5. Highest"
"E01002806",606528.03,56676.67,29.1,18.98,"3. Medium"
"E01002807",459830.72,46836.67,41.6,11.82,"3. Medium"
"E01002808",552976.73,53873.33,30.2,13.28,"3. Medium"
"E01002809",567700.19,51663.33,35.9,17.72,"3. Medium"
"E01002810",475004.41,50813.33,38.6,14.09,"3. Medium"
"E01002811",659468.25,49673.33,38.8,14.15,"3. Medium"
"E01002812",1365594,103833.33,12.7,23.54,"4. High"
"E01002813",2394715.55,130443.33,10.5,29.7,"5. Highest"
"E01002814",1614775.1,83033.33,27.1,31.2,"5. Highest"
"E01002815",962931.55,96493.33,20.2,29.54,"5. Highest"
"E01002816",2315081.63,133213.33,13.8,24.27,"4. High"
"E01002817",2854394.11,124990,12.6,29.08,"5. Highest"
"E01002818",3144029.43,131263.33,15.2,31.54,"5. Highest"
"E01002819",2777219.03,133270,12.3,28.4,"5. Highest"
"E01002820",1757828.17,121210,10.1,34.4,"5. Highest"
"E01002821",2646444.55,110726.67,13.2,37.48,"5. Highest"
"E01002822",3388764.83,146313.33,14.6,38.53,"5. Highest"
"E01002823",1508005.5,96730,29.2,37.28,"5. Highest"
"E01002824",2084382.41,121973.33,11.2,27.07,"5. Highest"
"E01002825",2611913.12,135016.67,11.3,22.67,"4. High"
"E01002826",1428011.9,114626.67,14.5,26.35,"5. Highest"
"E01002827",3236361.18,132960,13.7,32.88,"5. Highest"
"E01002828",2268998.8,136460,15.1,32.31,"5. Highest"
"E01002829",1377887.46,81316.67,34.3,18.08,"3. Medium"
"E01002830",800522.31,74470,37.3,16.96,"3. Medium"
"E01002831",921032.74,77580,38.1,19.29,"3. Medium"
"E01002832",1039436.79,80136.67,34.6,25.23,"5. Highest"
"E01002833",1326639.63,102726.67,22.6,21.9,"4. High"
"E01002834",1702745.78,117426.67,16.8,34.37,"5. Highest"
"E01002835",2031246.04,127820,11.3,35.6,"5. Highest"
"E01002836",1619816.03,124483.33,12.8,31.39,"5. Highest"
"E01002837",2310580.02,139906.67,9.7,29.76,"5. Highest"
"E01002838",1693633.92,120946.67,12.5,32.86,"5. Highest"
"E01002839",1306563.82,99703.33,30.3,31.57,"5. Highest"
"E01002840",773828.33,70756.67,38,15.39,"3. Medium"
"E01002841",1127170.87,80523.33,26.8,14.76,"3. Medium"
"E01002842",836292.88,59543.33,52,14.22,"3. Medium"
"E01002843",959000,68710,40.3,19.37,"3. Medium"
"E01002844",2542142.01,119313.33,14,14.46,"3. Medium"
"E01002845",1724065.38,93060,24.5,17.67,"3. Medium"
"E01002846",769146.75,83413.33,33.5,42.16,"5. Highest"
"E01002847",1021298.05,87366.67,26.9,41.27,"5. Highest"
"E01002848",754323.05,79123.33,34,33.99,"5. Highest"
"E01002849",1311348.71,95750,20.8,39.81,"5. Highest"
"E01002850",1157023.1,90910,28.1,36.9,"5. Highest"
"E01002851",847739.12,72090,41.3,35.14,"5. Highest"
"E01002852",525427.03,56476.67,48.5,13.44,"3. Medium"
"E01002853",766602.9,58950,54.6,15.82,"3. Medium"
"E01002854",962372.56,56030,46.5,17.47,"3. Medium"
"E01002855",706368.4,60633.33,48.4,14.51,"3. Medium"
"E01002856",716371.42,69743.33,37.3,19.89,"3. Medium"
"E01002857",1002594.43,50523.33,56.9,13.63,"3. Medium"
"E01002858",889578.61,72076.67,25.8,29.05,"5. Highest"
"E01002859",2512182.03,133046.67,10.9,29.89,"5. Highest"
"E01002860",2477413.05,155123.33,12,26.75,"5. Highest"
"E01002861",2744010.47,115636.67,14.9,29.48,"5. Highest"
"E01002862",775378.02,70923.33,27.7,31.25,"5. Highest"
"E01002863",5337465.68,147576.67,10.5,31.28,"5. Highest"
"E01002864",3425293.44,128230,10.7,16.65,"3. Medium"
"E01002865",3702088.32,139963.33,8.8,20.49,"4. High"
"E01002866",2021985.16,93113.33,21.9,26.99,"5. Highest"
"E01002867",1178984.95,90646.67,25.2,22.82,"4. High"
"E01002868",2789391.49,142276.67,10.3,23,"4. High"
"E01002869",1039944.12,96626.67,21.6,43.02,"5. Highest"
"E01002870",1312075.6,60710,48.1,11.7,"3. Medium"
"E01002871",2479041.6,148230,12.4,26.93,"5. Highest"
"E01002872",1958889.33,90816.67,39.4,15.34,"3. Medium"
"E01002873",2001256.66,108900,22.7,36.13,"5. Highest"
"E01002874",2104893.48,100193.33,21.5,21.29,"4. High"
"E01002875",4180409.54,116006.67,16.3,22.65,"4. High"
"E01002876",1739657.11,91220,23,9.39,"2. Low"
"E01002877",671227.48,70753.33,42.3,12.16,"3. Medium"
"E01002878",737897.71,76966.67,31.9,19.82,"3. Medium"
"E01002879",524636.93,60790,42.1,14.79,"3. Medium"
"E01002880",387445.14,54883.33,45.1,12.2,"3. Medium"
"E01002881",1012487.5,65916.67,39.7,8.06,"2. Low"
"E01002882",1835285.47,107930,21.3,28.09,"5. Highest"
"E01002883",1576340.41,110386.67,13.4,33.92,"5. Highest"
"E01002884",1191811.16,102390,22.6,36.25,"5. Highest"
"E01002885",1148664.52,100036.67,20.3,34.89,"5. Highest"
"E01002886",2848272.61,116003.33,16.5,31.44,"5. Highest"
"E01002887",1566138.25,118776.67,15.4,28.8,"5. Highest"
"E01002888",1275154.27,106976.67,13.4,22.37,"4. High"
"E01002889",3524878.18,130330,10.7,24.4,"4. High"
"E01002890",5567775.55,174403.33,8.8,21.07,"4. High"
"E01002891",3460870.83,130183.33,11.6,26.4,"5. Highest"
"E01002892",2213695.71,127036.67,10.8,29.53,"5. Highest"
"E01002893",870379.68,92970,22.9,27.99,"5. Highest"
"E01002894",1208565.6,101613.33,25.4,36.77,"5. Highest"
"E01002895",3711918.95,132176.67,11.3,16.72,"3. Medium"
"E01002896",1304107.37,113290,11.5,28.21,"5. Highest"
"E01002897",1044069.17,96370,20.8,18.57,"3. Medium"
"E01002898",2291479.28,116816.67,11,31,"5. Highest"
"E01002899",3730723.66,94903.33,23.2,16.58,"3. Medium"
"E01002900",2320751.5,132683.33,9.8,6.39,"2. Low"
"E01002901",2703938.55,109596.67,15.3,15.82,"3. Medium"
"E01002902",2170754.79,111090,12.4,30.72,"5. Highest"
"E01002903",3179217.45,177253.33,8,19.7,"3. Medium"
"E01002904",633471.79,54033.33,55.4,3.24,"1. Lowest"
"E01002905",720752.22,60846.67,47.6,16.07,"3. Medium"
"E01002906",679059.44,65816.67,40,11.19,"3. Medium"
"E01002907",2062209.6,72926.67,52,4.56,"1. Lowest"
"E01002908",1533824.28,80633.33,26.7,8.23,"2. Low"
"E01002909",1105866.77,80016.67,29.6,19,"3. Medium"
"E01002910",2467704.98,104603.33,15,26.38,"5. Highest"
"E01002911",2881772.86,137113.33,11.3,21.78,"4. High"
"E01002912",1204038,105813.33,15.4,17.61,"3. Medium"
"E01002913",1290246.52,95583.33,19,19.1,"3. Medium"
"E01002914",3136128.95,112133.33,9.9,32.08,"5. Highest"
"E01002915",454133.8,52663.33,9.5,3.33,"1. Lowest"
"E01002916",566932.1,54696.67,6.2,6.31,"2. Low"
"E01002917",544030.48,56393.33,3.8,2.49,"1. Lowest"
"E01002918",331903.7,45736.67,11.4,3.45,"1. Lowest"
"E01002919",251877.35,44283.33,16,5.3,"2. Low"
"E01002920",579724.59,56796.67,3.8,2.92,"1. Lowest"
"E01002921",371817.86,50173.33,16.4,14.64,"3. Medium"
"E01002922",578994.02,54896.67,9,4.11,"1. Lowest"
"E01002923",359129.09,41300,29.8,9.89,"2. Low"
"E01002924",698864.56,63036.67,3,2.61,"1. Lowest"
"E01002925",411003.65,53286.67,10.6,7.25,"2. Low"
"E01002926",544059.89,56110,6.2,5.24,"2. Low"
"E01002927",384409.13,49253.33,11.7,3.26,"1. Lowest"
"E01002928",393794.95,49776.67,15.1,6.96,"2. Low"
"E01002929",649393.96,58103.33,8.3,7.39,"2. Low"
"E01002930",476421.97,49103.33,12.8,13.77,"3. Medium"
"E01002931",616862.53,54306.67,10.3,9.03,"2. Low"
"E01002932",297162.16,42600,28.7,4.01,"1. Lowest"
"E01002933",669658.23,54266.67,16.8,11.06,"3. Medium"
"E01002934",832563.22,63703.33,3.8,3.95,"1. Lowest"
"E01002935",446117.22,52996.67,7.2,16.2,"3. Medium"
"E01002937",656170.46,61226.67,4.3,16.93,"3. Medium"
"E01002938",682590.85,58870,5.4,5.36,"2. Low"
"E01002939",305699.59,45200,12.4,6.24,"2. Low"
"E01002940",326268.86,44420,16.4,8.03,"2. Low"
"E01002941",295139.54,46340,10.6,3.11,"1. Lowest"
"E01002942",388673.42,48026.67,10.2,7.82,"2. Low"
"E01002943",346050.02,44993.33,16,2.07,"1. Lowest"
"E01002944",314275.39,47753.33,11.5,3.17,"1. Lowest"
"E01002945",299034.07,47380,8.9,4.92,"1. Lowest"
"E01002946",338009.73,48350,10.2,2.88,"1. Lowest"
"E01002947",354162.11,49093.33,5.2,5.82,"2. Low"
"E01002948",393373.75,47716.67,17.6,1.24,"1. Lowest"
"E01002949",371671.42,48040,8.7,5.13,"2. Low"
"E01002950",312603.43,44080,18.4,2.73,"1. Lowest"
"E01002951",513395.82,57086.67,7.1,7.42,"2. Low"
"E01002952",2152072.99,79706.67,5.3,2.55,"1. Lowest"
"E01002953",1455051.32,65873.33,7.7,2.55,"1. Lowest"
"E01002954",291811.1,49846.67,11.2,14.96,"3. Medium"
"E01002955",509066.02,53616.67,14.4,4.08,"1. Lowest"
"E01002956",1134764.5,60536.67,7.3,3.68,"1. Lowest"
"E01002957",467404.04,43390,16.7,4.31,"1. Lowest"
"E01002958",537654.2,54956.67,5.6,5.59,"2. Low"
"E01002959",1282672.88,70063.33,2.6,3.3,"1. Lowest"
"E01002960",599739.77,56180,5.5,7.78,"2. Low"
"E01002961",687100.71,59446.67,5.3,5.42,"2. Low"
"E01002962",495332.6,46903.33,13.9,2.69,"1. Lowest"
"E01002963",390282.39,50036.67,9.9,9.69,"2. Low"
"E01002964",417041.55,44633.33,22.6,17.41,"3. Medium"
"E01002965",441202.13,50746.67,12.1,11.9,"3. Medium"
"E01002966",529509.72,53446.67,11.4,4.66,"1. Lowest"
"E01002967",455228.67,57240,7.6,14.84,"3. Medium"
"E01002968",521210.05,53310,14.4,28.91,"5. Highest"
"E01002969",221952.08,34980,39.3,4.32,"1. Lowest"
"E01002970",360322.15,40906.67,21.8,5.53,"2. Low"
"E01002971",474249.47,47390,12.7,9.17,"2. Low"
"E01002972",340786.69,44443.33,13.7,21.93,"4. High"
"E01002973",359923.04,40823.33,22.9,4.77,"1. Lowest"
"E01002974",616934.26,47936.67,14.1,16.35,"3. Medium"
"E01002975",458748.2,51113.33,10,5.54,"2. Low"
"E01002976",417013.24,51360,6,2.88,"1. Lowest"
"E01002977",398275.85,44813.33,19.5,6.61,"2. Low"
"E01002978",537263.07,55143.33,5.4,10.26,"3. Medium"
"E01002979",348258.22,53326.67,8.4,5.72,"2. Low"
"E01002980",542530.29,51656.67,7,6.15,"2. Low"
"E01002981",580570.47,52666.67,10.4,4.85,"1. Lowest"
"E01002982",499228.01,52703.33,14.5,6.78,"2. Low"
"E01002983",526898.12,56150,6.4,5.65,"2. Low"
"E01002984",517193.55,49113.33,14.2,9.83,"2. Low"
"E01002985",370869.8,48513.33,10.3,9.49,"2. Low"
"E01002986",548996.93,50586.67,12.5,1.74,"1. Lowest"
"E01002987",339845.34,50653.33,21.5,20.76,"4. High"
"E01002988",534611.34,55550,8.2,10.5,"3. Medium"
"E01002989",486721.27,58990,10,15.21,"3. Medium"
"E01002990",414077.16,55910,11,18.94,"3. Medium"
"E01002991",596056.79,57530,7.7,8.07,"2. Low"
"E01002992",423027.08,52946.67,8,3.26,"1. Lowest"
"E01002993",400982.24,52803.33,9.2,13.2,"3. Medium"
"E01002994",648033.73,55096.67,6,4.77,"1. Lowest"
"E01002995",751446.64,58543.33,6.1,7.29,"2. Low"
"E01002996",539480,56070,6.2,7.88,"2. Low"
"E01002997",610650.4,55940,6.3,8.21,"2. Low"
"E01002998",434563.43,49670,12.4,5.38,"2. Low"
"E01002999",419520.01,48463.33,11.8,16.87,"3. Medium"
"E01003000",369355.95,45220,16.5,2.54,"1. Lowest"
"E01003001",399728.55,46833.33,9.9,5.95,"2. Low"
"E01003002",356707.98,47876.67,16.1,5.11,"2. Low"
"E01003003",367951.82,46476.67,12.6,8.53,"2. Low"
"E01003004",392369.3,47410,10.5,3.17,"1. Lowest"
"E01003005",334890.44,46533.33,8.1,3.59,"1. Lowest"
"E01003006",595512.56,59010,6.8,4.9,"1. Lowest"
"E01003007",679815.06,59476.67,3.9,4.33,"1. Lowest"
"E01003008",666574.47,61300,2.7,4.31,"1. Lowest"
"E01003009",635419.52,56443.33,8.5,3.56,"1. Lowest"
"E01003010",925529.91,65863.33,3.6,4.37,"1. Lowest"
"E01003011",648820.47,58983.33,5.9,5.12,"2. Low"
"E01003013",666755.18,55963.33,16,67.77,"5. Highest"
"E01003014",559794.5,48396.67,27,63.7,"5. Highest"
"E01003015",400783.9,42043.33,33.9,18.31,"3. Medium"
"E01003016",877206.37,52696.67,19.9,97.46,"5. Highest"
"E01003017",862174,49906.67,30.8,107.86,NA
"E01003018",500699.62,53036.67,19.7,20.89,"4. High"
"E01003019",561408.44,56733.33,19.5,13.26,"3. Medium"
"E01003020",509878.85,49406.67,24.1,34.95,"5. Highest"
"E01003021",425874.39,41976.67,42.3,14.63,"3. Medium"
"E01003022",551031.2,49240,19.8,11.22,"3. Medium"
"E01003023",419937.8,47160,23.9,22.06,"4. High"
"E01003024",314618.97,40570,37.6,18.37,"3. Medium"
"E01003025",450382.53,44146.67,30.8,14.21,"3. Medium"
"E01003026",801280.54,68196.67,16.9,17.09,"3. Medium"
"E01003027",1025775.63,76420,11.5,10.48,"3. Medium"
"E01003028",942189.26,65693.33,20.9,7.08,"2. Low"
"E01003029",687906.97,54466.67,21.7,16.16,"3. Medium"
"E01003030",724898.23,65453.33,15.6,18.56,"3. Medium"
"E01003031",563055.24,55046.67,22.9,11.59,"3. Medium"
"E01003032",597639.32,48276.67,35,26.48,"5. Highest"
"E01003033",1082445.56,68073.33,14.9,10.84,"3. Medium"
"E01003034",876000.98,53806.67,22.2,10.54,"3. Medium"
"E01003035",665746.03,56266.67,27.4,26.58,"5. Highest"
"E01003036",844740.26,55610,27.4,15.09,"3. Medium"
"E01003037",516845.64,47500,41.9,13.99,"3. Medium"
"E01003038",928077.67,61943.33,15.4,20.9,"4. High"
"E01003039",942553.95,61476.67,12.2,27,"5. Highest"
"E01003040",1017260.82,57163.33,20.6,20.52,"4. High"
"E01003041",442185.38,45713.33,41.1,31.32,"5. Highest"
"E01003042",534657.63,50340,32,19.73,"3. Medium"
"E01003043",688578.6,49813.33,25.8,30.59,"5. Highest"
"E01003044",471150,41223.33,41.7,13.56,"3. Medium"
"E01003045",483535.19,36096.67,48.8,19.15,"3. Medium"
"E01003046",359549.2,35050,41.8,11.95,"3. Medium"
"E01003047",429230.22,39100,45.5,45.9,"5. Highest"
"E01003048",261300,34870,48.6,18.2,"3. Medium"
"E01003049",382981.35,37006.67,41.4,29.27,"5. Highest"
"E01003050",584048.15,47096.67,33.1,39.9,"5. Highest"
"E01003051",448937.43,41656.67,48.5,22.27,"4. High"
"E01003052",322386.82,37496.67,49.8,24.62,"4. High"
"E01003053",619008.57,56526.67,24.1,30.85,"5. Highest"
"E01003054",553978.5,60186.67,20.2,28.9,"5. Highest"
"E01003055",572587.83,48443.33,38.2,37.59,"5. Highest"
"E01003056",593886.67,53700,24.2,22.93,"4. High"
"E01003057",477071.75,44996.67,38.7,24.64,"4. High"
"E01003058",600469.32,54820,19,21.98,"4. High"
"E01003059",412821.06,37710,40.6,23.08,"4. High"
"E01003060",374864.47,35810,45.6,35.42,"5. Highest"
"E01003061",481460.34,40810,41.1,38.11,"5. Highest"
"E01003062",424528.79,47750,25.5,21.55,"4. High"
"E01003063",342676.99,41106.67,44.1,11.86,"3. Medium"
"E01003064",525367.11,54490,12.5,5.59,"2. Low"
"E01003065",345456.62,38843.33,44.7,6.49,"2. Low"
"E01003066",358674.5,44573.33,38.5,14.94,"3. Medium"
"E01003067",523415.29,50470,20.2,9.7,"2. Low"
"E01003068",382118.87,42836.67,33.8,8.46,"2. Low"
"E01003069",461772.82,44526.67,34.7,8.78,"2. Low"
"E01003070",408239.01,41726.67,46.9,9.31,"2. Low"
"E01003071",640908.93,55920,19.8,19.41,"3. Medium"
"E01003072",972325.16,58133.33,20,16.38,"3. Medium"
"E01003073",596780.69,49206.67,32.6,12.01,"3. Medium"
"E01003074",539624.56,53563.33,26.7,16.47,"3. Medium"
"E01003075",315163.74,37953.33,47.4,15.82,"3. Medium"
"E01003076",447723.35,49333.33,23.3,16.78,"3. Medium"
"E01003077",475758.25,49120,26.5,13.72,"3. Medium"
"E01003078",762901.45,58786.67,13.8,14.73,"3. Medium"
"E01003079",358658.6,45516.67,34.6,14.58,"3. Medium"
"E01003080",470996.85,49370,20.4,13.51,"3. Medium"
"E01003081",435698.63,46753.33,32.6,18.56,"3. Medium"
"E01003082",433549.89,42023.33,34.8,15.71,"3. Medium"
"E01003083",545674.5,50883.33,21.2,9.23,"2. Low"
"E01003084",479308.2,50933.33,18.7,18.32,"3. Medium"
"E01003085",547041.45,49600,20.8,9.49,"2. Low"
"E01003086",319840.8,38990,37.8,9.36,"2. Low"
"E01003087",259792.32,37766.67,54,8.65,"2. Low"
"E01003088",558748.22,46413.33,33,22.28,"4. High"
"E01003089",390852.46,38993.33,35.5,12.03,"3. Medium"
"E01003090",514268.65,51893.33,25.6,27.29,"5. Highest"
"E01003091",517547.78,42623.33,31.2,11.21,"3. Medium"
"E01003092",437408.67,38553.33,42.7,14.34,"3. Medium"
"E01003093",325795.15,40450,37.4,29.41,"5. Highest"
"E01003094",618027.16,48050,30.5,25.53,"5. Highest"
"E01003095",881127.23,54086.67,22.1,20.34,"4. High"
"E01003096",540416.57,51190,27.3,23.93,"4. High"
"E01003097",390839.45,39520,37.4,19.16,"3. Medium"
"E01003098",821755.26,49343.33,25.2,20.36,"4. High"
"E01003099",481521.17,46056.67,33,36.33,"5. Highest"
"E01003100",631507.07,52410,15.8,29.48,"5. Highest"
"E01003101",516826.23,45733.33,29,43.76,"5. Highest"
"E01003102",618075.83,51480,29.3,48.98,"5. Highest"
"E01003104",619539.5,47240,28.1,33.18,"5. Highest"
"E01003105",591552.22,43350,31.9,34.27,"5. Highest"
"E01003106",754416.38,50350,26.1,24.55,"4. High"
"E01003107",817590,54243.33,17,40.23,"5. Highest"
"E01003108",349433.52,42353.33,37.4,34.5,"5. Highest"
"E01003109",560618.69,45413.33,33.1,39.26,"5. Highest"
"E01003110",605952.32,51876.67,20.7,35.84,"5. Highest"
"E01003111",536376.11,38070,37.6,10.71,"3. Medium"
"E01003112",669503.08,42006.67,35.8,20.64,"4. High"
"E01003113",385009.55,49490,28.4,23.45,"4. High"
"E01003114",430245.24,49733.33,22.4,23.23,"4. High"
"E01003115",395106.83,48766.67,22.5,23.83,"4. High"
"E01003116",689475.38,53146.67,19.1,10.76,"3. Medium"
"E01003117",493418.83,49866.67,23.3,25.37,"5. Highest"
"E01003118",713947.68,52996.67,25.4,24.3,"4. High"
"E01003119",445093.07,49146.67,24.7,25.19,"5. Highest"
"E01003120",406908.95,45376.67,35.6,32.4,"5. Highest"
"E01003121",401269.53,38910,35.8,15.04,"3. Medium"
"E01003122",533188.21,47146.67,27.2,11.19,"3. Medium"
"E01003123",741492.19,51126.67,23.2,20.23,"4. High"
"E01003124",376404.39,41993.33,35,25.42,"5. Highest"
"E01003125",311642.38,36800,37.8,22.09,"4. High"
"E01003126",431902.67,40546.67,35.6,31.36,"5. Highest"
"E01003127",590269.99,48130,28.3,30,"5. Highest"
"E01003128",321614.07,37910,41.6,25.17,"5. Highest"
"E01003129",605971.62,47986.67,24.5,22.01,"4. High"
"E01003130",471944.78,51096.67,21.1,28.51,"5. Highest"
"E01003131",473078.31,52316.67,20.8,26.06,"5. Highest"
"E01003132",328669.79,40386.67,37.8,7.06,"2. Low"
"E01003133",480572.49,50113.33,26,22.91,"4. High"
"E01003134",549855.95,51503.33,21.4,11.9,"3. Medium"
"E01003135",472554.4,47203.33,30.7,23.96,"4. High"
"E01003136",509972.14,43783.33,27.7,18.48,"3. Medium"
"E01003137",299780.29,40736.67,36.4,27.13,"5. Highest"
"E01003138",565369.18,57913.33,10.7,14.13,"3. Medium"
"E01003139",369323.96,44483.33,18.5,11.42,"3. Medium"
"E01003140",410904.46,45166.67,20.8,10.16,"3. Medium"
"E01003141",397176.53,46286.67,28,15.5,"3. Medium"
"E01003142",417894.08,42516.67,21.4,9.79,"2. Low"
"E01003143",399359.29,42540,32.2,8.72,"2. Low"
"E01003144",600174.61,55483.33,20.8,10.2,"3. Medium"
"E01003145",432318.79,46036.67,27.4,19.22,"3. Medium"
"E01003146",410147.16,43530,26.9,11.39,"3. Medium"
"E01003147",470803.81,47043.33,23.6,16.2,"3. Medium"
"E01003148",444660.88,49643.33,22.5,11.43,"3. Medium"
"E01003149",445061.15,51123.33,15.4,5.06,"2. Low"
"E01003150",365496.31,45143.33,34.5,20.87,"4. High"
"E01003151",330596.94,40643.33,41,21.2,"4. High"
"E01003152",398674.85,50076.67,16.4,9.86,"2. Low"
"E01003153",337195.19,49380,16.6,30.51,"5. Highest"
"E01003154",430610.12,43656.67,31.2,3.89,"1. Lowest"
"E01003155",468334.52,50276.67,19.8,21.39,"4. High"
"E01003156",653938.2,54743.33,19.6,6.41,"2. Low"
